Sample	Sample_title	Condition	Donor	cell_pop	factor	Dataset	Dataset_donor
D169U49	preDC_mock_D584	mock	D584	AxlDC	AxlDC_mock	ds1	ds1_D584
D169U65	preDC_mock_D601	mock	D601	AxlDC	AxlDC_mock	ds1	ds1_D601
D169U81	preDC_mock_D602	mock	D602	AxlDC	AxlDC_mock	ds1	ds1_D602
D169U50	preDC_AD8_D584	AD8	D584	AxlDC	AxlDC_AD8	ds1	ds1_D584
D169U66	preDC_AD8_D601	AD8	D601	AxlDC	AxlDC_AD8	ds1	ds1_D601
D169U82	preDC_AD8_D602	AD8	D602	AxlDC	AxlDC_AD8	ds1	ds1_D602
D169U51	preDC_AD8vpx_D584	AD8vpx	D584	AxlDC	AxlDC_AD8vpx	ds1	ds1_D584
D169U67	preDC_AD8vpx_D601	AD8vpx	D601	AxlDC	AxlDC_AD8vpx	ds1	ds1_D601
D169U83	preDC_AD8vpx_D602	AD8vpx	D602	AxlDC	AxlDC_AD8vpx	ds1	ds1_D602
D169U52	preDC_AD8vpx_AZTNVP_D584	AZTNVP	D584	AxlDC	AxlDC_AZTNVP	ds1	ds1_D584
D169U68	preDC_AD8vpx_AZTNVP_D601	AZTNVP	D601	AxlDC	AxlDC_AZTNVP	ds1	ds1_D601
D169U84	preDC_AD8vpx_AZTNVP_D602	AZTNVP	D602	AxlDC	AxlDC_AZTNVP	ds1	ds1_D602
D169U94	cDC1_mock_D602	mock	D602	cDC1	cDC1_mock	ds1	ds1_D602
D537T107	cDC1_D725_MOCK	mock	D725	cDC1	cDC1_mock	ds2	ds2_D725
D537T118	cDC1_D734_MOCK	mock	D734	cDC1	cDC1_mock	ds2	ds2_D734
D169U95	cDC1_AD8_D602	AD8	D602	cDC1	cDC1_AD8	ds1	ds1_D602
D537T119	cDC1_D734_AD8	AD8	D734	cDC1	cDC1_AD8	ds2	ds2_D734
D537T108	cDC1_D725_AD8	AD8	D725	cDC1	cDC1_AD8	ds2	ds2_D725
D169U64	cDC2_mock_D584	mock	D584	cDC2	cDC2_mock	ds1	ds1_D584
D169U73	cDC2_mock_D601	mock	D601	cDC2	cDC2_mock	ds1	ds1_D601
D169U89	cDC2_mock_D602	mock	D602	cDC2	cDC2_mock	ds1	ds1_D602
D169U63	cDC2_AD8_D584	AD8	D584	cDC2	cDC2_AD8	ds1	ds1_D584
D169U74	cDC2_AD8_D601	AD8	D601	cDC2	cDC2_AD8	ds1	ds1_D601
D169U90	cDC2_AD8_D602	AD8	D602	cDC2	cDC2_AD8	ds1	ds1_D602
D169U62	cDC2_AD8vpx_D584	AD8vpx	D584	cDC2	cDC2_AD8vpx	ds1	ds1_D584
D169U75	cDC2_AD8vpx_D601	AD8vpx	D601	cDC2	cDC2_AD8vpx	ds1	ds1_D601
D169U91	cDC2_AD8vpx_D602	AD8vpx	D602	cDC2	cDC2_AD8vpx	ds1	ds1_D602
D169U61	cDC2_AD8vpx_AZTNVP_D584	AZTNVP	D584	cDC2	cDC2_AZTNVP	ds1	ds1_D584
D169U76	cDC2_AD8vpx_AZTNVP_D601	AZTNVP	D601	cDC2	cDC2_AZTNVP	ds1	ds1_D601
D169U92	cDC2_AD8vpx_AZTNVP_D602	AZTNVP	D602	cDC2	cDC2_AZTNVP	ds1	ds1_D602
D169U54	pDC_mock_D584	mock	D584	pDC	pDC_mock	ds1	ds1_D584
D169U86	pDC_mock_D602	mock	D602	pDC	pDC_mock	ds1	ds1_D602
D537T110	pDC_D734_MOCK	mock	D734	pDC	pDC_mock	ds2	ds2_D734
D169U55	pDC_AD8_D584	AD8	D584	pDC	pDC_AD8	ds1	ds1_D584
D169U87	pDC_AD8_D602	AD8	D602	pDC	pDC_AD8	ds1	ds1_D602
D537T111	pDC_D734_AD8	AD8	D734	pDC	pDC_AD8	ds2	ds2_D734
